,Año,Trimestre,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Periodo,Date
0,2014,1,9562231,7897980,1065834,30917,5675,Ene-Mar 2014,1/3/2014
1,2014,2,9548994,7872511,1073038,31339,572106,Abr-Jun 2014,1/6/2014
2,2014,3,9613361,7924613,1091747,32516,564485,Jul-Sept 2014,1/9/2014
3,2014,4,9689752,7989623,1106502,33139,560488,Oct-Dic 2014,1/12/2014
4,2015,1,10086221,8358053,1134427,36888,556853,Ene-Mar 2015,1/3/2015
5,2015,2,9991190,8291156,1103025,34419,56259,Abr-Jun 2015,1/6/2015
6,2015,3,10050617,8364541,1095767,3523,555079,Jul-Sept 2015,1/9/2015
7,2015,4,9975798,8380800,1003363,35161,556474,Oct-Dic 2015,1/12/2015
8,2016,1,10239381,8950226,721226,37841,530088,Ene-Mar 2016,1/3/2016
9,2016,2,10379749,9037000,759247,38093,545409,Abr-Jun 2016,1/6/2016
10,2016,3,10130489,8829818,724585,37068,539018,Jul-Sept 2016,1/9/2016
11,2016,4,10260812,8971186,721607,37856,530163,Oct-Dic 2016,1/12/2016
12,2017,1,10239381,8950226,721226,37841,530088,Ene-Mar 2017,1/3/2017
13,2017,2,10379749,9037000,759247,38093,545409,Abr-Jun 2017,1/6/2017
14,2017,3,10130489,8829818,724585,37068,539018,Jul-Sept 2017,1/9/2017
15,2017,4,10260812,8971186,721607,37856,530163,Oct-Dic 2017,1/12/2017
16,2018,1,9666921,8490573,711654,37447,427247,Ene-Mar 2018,1/3/2018
17,2018,2,9703699,8638311,712144,38473,314771,Abr-Jun 2018,1/6/2018
18,2018,3,9694988,8656721,709503,38828,289936,Jul-Sept 2018,1/9/2018
19,2018,4,9805917,8764892,715700,39825,2855,Oct-Dic 2018,1/12/2018
20,2019,1,8327400,7360178,655594,34826,276802,Ene-Mar 2019,1/3/2019
21,2019,2,8129983,7177951,640458,34264,27731,Abr-Jun 2019,1/6/2019
22,2019,3,7892689,7069250,619801,34329,169309,Jul-Sept 2019,1/9/2019
23,2019,4,7762812,6942553,618847,34546,166866,Oct-Dic 2019,1/12/2019
24,2020,1,7555630,6778310,605915,33415,13799,Ene-Mar 2020,1/3/2020
25,2020,2,7463257,6694729,598402,34391,135735,Abr-Jun 2020,1/6/2020
26,2020,3,7432548,6712162,542624,36283,141479,Jul-Sept 2020,1/9/2020
27,2020,4,7364032,6621370,579315,34155,129192,Oct-Dic 2020,1/12/2020
28,2021,1,7200461,6459673,557287,34041,14946,Ene-Mar 2021,1/3/2021
29,2021,2,7081716,6378508,545706,34144,123358,Abr-Jun 2021,1/6/2021
30,2021,3,7003303,6311742,536500,34225,120836,Jul-Sept 2021,1/9/2021
31,2021,4,7626355,6933738,538714,34262,119641,Oct-Dic 2021,1/12/2021
32,2022,1,7664854,6984398,529745,34087,116624,Ene-Mar 2022,1/1/2022
33,2022,2,7633074,6960775,524421,34151,113727,Abr-Jun 2022,1/6/2022
34,2022,3,7525944,6880892,503266,33107,108679,Jul-Sept 2022,1/9/2022
